pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y
2023000009,1,1,2,8600,719,,104,,,,,,20,2023,4,9,37,3,1,1,9,3,3,8,3,0,1,1,3,3,1,,1,1,9,9,9,0,0,9,5,51,512,0,14,1,183206,666306
2023000011,1,1,2,9700,,,9999,,,,,,51,2023,5,28,81,4,5,1,9,2,1,9,1,0,1,1,2,3,3,7,9,9,9,9,6,8,0,9,4,42,421,0,15,2,190185,673239
2023000013,1,1,2,8300,120,,9999,,,,,,52,2023,7,26,67,4,1,4,9,2,3,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,4,44,442,0,13,3,179498,653490
2023000014,1,1,3,0,,,,,4,0,2236,3402,12,2023,1,5,50,4,1,5,1,2,2,8,3,0,2,1,2,3,1,2,1,1,9,9,9,0,0,9,3,31,311,99,99,1,209195,751807
2023000021,1,1,2,3000,4121,,9999,,,,,,61,2023,6,28,69,4,1,4,9,3,3,9,3,0,1,1,2,5,1,,1,1,9,9,9,0,0,9,1,11,111,0,12,2,223381,633927
2023000025,1,1,3,0,,,,,4,0,2230,437,12,2023,7,16,95,4,5,1,1,3,1,11,0,2,3,1,5,3,3,2,1,1,9,9,9,4,4,9,3,31,311,99,99,1,209128,751164
2023000036,1,1,4,0,,,,,5,0,126,,51,2023,5,21,67,4,1,1,9,2,5,8,1,0,5,1,4,3,1,,1,1,9,9,9,0,0,9,4,42,422,99,99,1,193299,669269
2023000040,1,1,1,6200,312,221,,7810031,,,,,20,2023,1,29,40,4,1,1,1,3,2,8,0,3,1,1,3,3,1,2,1,1,9,9,9,0,0,9,5,51,513,0,14,1,175748,657646
2023000044,1,1,2,5000,1994,,94,,,,,,20,2023,2,24,45,4,1,6,9,2,1,9,9,0,0,0,0,5,11,,9,9,9,9,9,0,0,9,5,51,511,0,13,1,176767,661440
2023000050,1,1,3,0,,,,,4,8510,2287,4066,12,2023,1,1,9,4,5,1,1,3,6,8,0,3,4,1,3,3,3,2,1,1,9,9,9,0,0,9,2,24,246,99,99,1,208765,756649
