HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years
1,40,4,1,1,1,8,0,3,1,1,3,3,1,1,2,1,1,51,10,2,1.32,8
1,40,4,1,1,1,8,0,3,1,1,3,3,1,1,2,1,1,51,7,1,1.32,8
3,54,4,1,5,1,8,1,0,1,1,2,3,1,0,1,1,1,24,9,1,0.6,25
5,74,4,1,2,1,8,1,0,1,1,2,3,1,0,1,1,1,51,5,1,0.6,3
9,54,4,1,2,1,8,3,0,1,1,3,3,1,0,6,1,1,61,8,2,2.52,5
9,54,4,1,2,1,8,3,0,1,1,3,3,1,0,6,1,1,61,5,2,2.52,8
9,35,4,1,1,1,8,3,0,1,1,5,4,1,0,1,1,1,62,13,1,1.32,36
9,35,4,1,1,1,8,3,0,1,1,5,4,1,0,1,1,1,62,6,1,1.32,9
8,87,4,5,5,1,8,0,3,1,1,4,3,3,1,2,1,1,42,14,1,1.32,51
8,87,4,5,5,1,8,0,3,1,1,4,3,3,1,2,1,1,42,6,1,1.32,13
2,42,4,1,2,1,8,3,0,1,1,2,3,1,1,2,1,1,11,15,1,3.84,52
2,42,4,1,2,1,8,3,0,1,1,2,3,1,1,2,1,1,11,10,1,3.84,28
1,51,4,1,6,1,8,3,0,1,1,2,3,1,0,5,1,1,32,8,1,1.32,22
1,51,4,1,6,1,8,3,0,1,1,2,3,1,0,5,1,1,32,10,2,1.32,29
9,57,4,1,4,1,9,0,3,1,1,2,3,1,1,2,1,1,42,13,1,1.98,45
9,57,4,1,4,1,9,0,3,1,1,2,3,1,1,2,1,1,42,12,1,1.98,26
9,60,4,1,5,1,8,3,0,1,1,1,3,1,0,5,1,1,62,8,2,1.32,20
9,60,4,1,5,1,8,3,0,1,1,1,3,1,0,5,1,1,62,9,1,1.32,25
1,43,4,1,6,1,8,0,3,1,1,4,3,2,1,2,2,2,11,5,1,10.76,4
1,43,4,1,6,1,8,0,3,1,1,4,3,2,1,2,2,2,11,8,1,10.76,20
7,83,4,5,2,1,8,1,0,3,1,3,3,3,1,2,1,1,51,7,1,1.32,
7,83,4,5,2,1,8,1,0,3,1,3,3,3,1,2,1,1,51,4,2,1.32,3
12,89,4,5,5,1,8,3,0,1,1,3,3,3,1,2,1,1,41,4,2,3.84,2
12,89,4,5,5,1,8,3,0,1,1,3,3,3,1,2,1,1,41,4,2,3.84,3
6,67,4,1,1,1,9,9,0,0,0,0,5,11,9,,9,9,51,4,1,2.58,4
12,80,4,5,7,1,9,3,0,1,1,4,5,6,0,1,1,1,11,10,1,1.32,22
12,80,4,5,7,1,9,3,0,1,1,4,5,6,0,1,1,1,11,9,2,1.32,24
11,55,4,1,1,1,9,9,0,0,0,0,5,11,9,,9,9,44,12,2,2.52,21
11,55,4,1,1,1,9,9,0,0,0,0,5,11,9,,9,9,44,13,1,2.52,48
9,59,4,1,3,1,8,0,3,1,1,2,3,1,0,6,1,1,61,11,1,0.9,25
9,65,4,1,1,1,8,0,3,1,1,3,3,1,1,2,1,1,51,8,1,1.32,19
4,76,4,1,5,1,8,0,3,1,1,2,3,1,1,2,1,1,51,11,2,0.9,11
10,85,4,5,5,1,8,1,0,1,1,4,3,6,1,2,1,1,51,8,1,1.32,19
10,85,4,5,5,1,8,1,0,1,1,4,3,6,1,2,1,1,51,8,1,1.32,23
5,59,4,1,4,1,8,3,0,1,1,2,3,1,0,6,1,1,32,10,2,1.32,25
5,59,4,1,4,1,8,3,0,1,1,2,3,1,0,6,1,1,32,12,1,1.32,30
12,39,4,1,2,1,9,0,5,1,1,1,3,1,1,2,1,1,42,15,2,1.32,50
12,39,4,1,2,1,9,0,5,1,1,1,3,1,1,2,1,1,42,6,2,1.32,6
11,58,4,1,1,1,8,1,0,1,1,3,3,1,1,2,1,1,51,6,1,1.98,11
11,58,4,1,1,1,8,1,0,1,1,3,3,1,1,2,1,1,51,11,1,1.98,36
9,55,4,1,5,1,8,3,0,1,1,4,4,1,1,2,1,1,51,8,1,0.6,3
5,55,4,1,3,1,9,0,3,1,1,3,3,1,0,6,1,1,61,4,1,1.32,3
12,75,4,5,2,1,8,1,0,1,3,4,3,3,1,2,1,1,51,5,1,6.32,6
1,32,4,1,1,1,9,3,0,1,1,0,3,1,1,2,1,1,51,10,1,3.84,29
1,32,4,1,1,1,9,3,0,1,1,0,3,1,1,2,1,1,51,15,1,3.84,
6,45,4,1,2,1,9,3,0,1,0,3,5,1,0,1,1,1,51,13,2,0.9,43
9,40,4,1,3,1,8,0,3,1,1,5,3,1,1,2,1,1,61,6,1,6,10
9,40,4,1,3,1,8,0,3,1,1,5,3,1,1,2,1,1,61,16,1,6,34
9,40,4,1,3,1,8,0,3,1,1,5,3,1,1,2,1,1,61,10,1,6,30
