ZOMET_IRONI,SEMEL_YISHUV,X,Y,pk_teuna_fikt,SHNAT_TEUNA,HODESH_TEUNA,YOM_BASHAVUA,MEHIRUT_MUTERET,ROHAV,RAMZOR,KVUZA_GIL,base_risk_score,veteran_driver_years,HOUR,HODESH_TEUNA_sin,HODESH_TEUNA_cos,SUG_YOM_Weekday,is_night,YOM_BASHAVUA_sin,YOM_BASHAVUA_cos,_MultiLaneOneWay,_SingleLaneOneWay,_TwoWay_Separated,_TwoWay_Unseparated,is_bad_road,is_signage_problem,is_not_clear_weather,is_slippery_road,SEX,vehicle_0,vehicle_1,vehicle_2,hour_sin,hour_cos,risk_level
7810031.0,6200,175748.0,657646.0,2023000040,2023,1,1,1,3,1,10,0.069,8.0,9,0.49999999999999994,0.8660254037844387,1,0,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,0,0,1,1,0,0,0.7071067811865476,-0.7071067811865475,0
7810031.0,6200,175748.0,657646.0,2023000040,2023,1,1,1,3,1,7,0.069,8.0,9,0.49999999999999994,0.8660254037844387,1,0,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,0,0,0,0,1,0,0.7071067811865476,-0.7071067811865475,0
7620005.0,7600,207762.0,759167.0,2023000059,2023,3,5,1,2,0,9,0.0345,25.0,13,1.0,6.123233995736766e-17,1,0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,0,0,0,0,1,-0.2588190451025208,-0.9659258262890683,0
9520041.0,6100,185084.0,665378.0,2023000073,2023,5,2,1,2,0,5,0.0345,3.0,18,0.49999999999999994,-0.8660254037844387,1,0,0.9749279121818236,-0.22252093395631434,0,1,0,0,0,0,0,0,0,1,0,0,-1.0,-1.8369701987210297e-16,0
8730052.0,70,166862.0,632180.0,2023000076,2023,9,2,1,3,0,8,0.1379,5.0,13,-1.0,-1.8369701987210297e-16,1,0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0,0,-0.2588190451025208,-0.9659258262890683,0
8730052.0,70,166862.0,632180.0,2023000076,2023,9,2,1,3,0,5,0.1379,8.0,13,-1.0,-1.8369701987210297e-16,1,0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0,0,-0.2588190451025208,-0.9659258262890683,0
8080004.0,2600,193783.0,385959.0,2023000118,2023,9,1,1,5,0,13,0.069,36.0,8,-1.0,-1.8369701987210297e-16,1,0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,0
8080004.0,2600,193783.0,385959.0,2023000118,2023,9,1,1,5,0,6,0.069,9.0,8,-1.0,-1.8369701987210297e-16,1,0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,0
220001.0,8700,189213.0,677607.0,2023000186,2023,8,5,1,4,1,14,0.069,51.0,21,-0.8660254037844385,-0.5000000000000004,1,1,-0.9749279121818236,-0.2225209339563146,1,0,0,0,0,0,0,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,0
220001.0,8700,189213.0,677607.0,2023000186,2023,8,5,1,4,1,6,0.069,13.0,21,-0.8660254037844385,-0.5000000000000004,1,1,-0.9749279121818236,-0.2225209339563146,1,0,0,0,0,0,0,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,0
