HODESH_TEUNA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_DEREH,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,RAMZOR,BAKARA,MEZEG_AVIR,PNE_KVISH,NAFA,KVUZA_GIL,MIN,base_risk_score,veteran_driver_years,HOUR
1,4,1,1,1,8,0,3,1,1,3,3,1,1,2.0,1,1,51,10,2,1.32,8.0,9
1,4,1,1,1,8,0,3,1,1,3,3,1,1,2.0,1,1,51,7,1,1.32,8.0,9
3,4,1,5,1,8,1,0,1,1,2,3,1,0,1.0,1,1,24,9,1,0.6,25.0,13
5,4,1,2,1,8,1,0,1,1,2,3,1,0,1.0,1,1,51,5,1,0.6,3.0,18
9,4,1,2,1,8,3,0,1,1,3,3,1,0,6.0,1,1,61,8,2,2.52,5.0,13
9,4,1,2,1,8,3,0,1,1,3,3,1,0,6.0,1,1,61,5,2,2.52,8.0,13
9,4,1,1,1,8,3,0,1,1,5,4,1,0,1.0,1,1,62,13,1,1.32,36.0,8
9,4,1,1,1,8,3,0,1,1,5,4,1,0,1.0,1,1,62,6,1,1.32,9.0,8
8,4,5,5,1,8,0,3,1,1,4,3,3,1,2.0,1,1,42,14,1,1.32,51.0,21
8,4,5,5,1,8,0,3,1,1,4,3,3,1,2.0,1,1,42,6,1,1.32,13.0,21
2,4,1,2,1,8,3,0,1,1,2,3,1,1,2.0,1,1,11,15,1,3.84,52.0,10
2,4,1,2,1,8,3,0,1,1,2,3,1,1,2.0,1,1,11,10,1,3.84,28.0,10
1,4,1,6,1,8,3,0,1,1,2,3,1,0,5.0,1,1,32,8,1,1.32,22.0,12
1,4,1,6,1,8,3,0,1,1,2,3,1,0,5.0,1,1,32,10,2,1.32,29.0,12
9,4,1,4,1,9,0,3,1,1,2,3,1,1,2.0,1,1,42,13,1,1.98,45.0,14
9,4,1,4,1,9,0,3,1,1,2,3,1,1,2.0,1,1,42,12,1,1.98,26.0,14
9,4,1,5,1,8,3,0,1,1,1,3,1,0,5.0,1,1,62,8,2,1.32,20.0,14
9,4,1,5,1,8,3,0,1,1,1,3,1,0,5.0,1,1,62,9,1,1.32,25.0,14
1,4,1,6,1,8,0,3,1,1,4,3,2,1,2.0,2,2,11,5,1,10.76,4.0,10
1,4,1,6,1,8,0,3,1,1,4,3,2,1,2.0,2,2,11,8,1,10.76,20.0,10
7,4,5,2,1,8,1,0,3,1,3,3,3,1,2.0,1,1,51,7,1,1.32,,20
7,4,5,2,1,8,1,0,3,1,3,3,3,1,2.0,1,1,51,4,2,1.32,3.0,20
12,4,5,5,1,8,3,0,1,1,3,3,3,1,2.0,1,1,41,4,2,3.84,2.0,22
12,4,5,5,1,8,3,0,1,1,3,3,3,1,2.0,1,1,41,4,2,3.84,3.0,22
6,4,1,1,1,9,9,0,0,0,0,5,11,9,,9,9,51,4,1,2.58,4.0,16
12,4,5,7,1,9,3,0,1,1,4,5,6,0,1.0,1,1,11,10,1,1.32,22.0,19
12,4,5,7,1,9,3,0,1,1,4,5,6,0,1.0,1,1,11,9,2,1.32,24.0,19
11,4,1,1,1,9,9,0,0,0,0,5,11,9,,9,9,44,12,2,2.52,21.0,13
11,4,1,1,1,9,9,0,0,0,0,5,11,9,,9,9,44,13,1,2.52,48.0,13
9,4,1,3,1,8,0,3,1,1,2,3,1,0,6.0,1,1,61,11,1,0.9,25.0,14
9,4,1,1,1,8,0,3,1,1,3,3,1,1,2.0,1,1,51,8,1,1.32,19.0,16
4,4,1,5,1,8,0,3,1,1,2,3,1,1,2.0,1,1,51,11,2,0.9,11.0,18
10,4,5,5,1,8,1,0,1,1,4,3,6,1,2.0,1,1,51,8,1,1.32,19.0,21
10,4,5,5,1,8,1,0,1,1,4,3,6,1,2.0,1,1,51,8,1,1.32,23.0,21
5,4,1,4,1,8,3,0,1,1,2,3,1,0,6.0,1,1,32,10,2,1.32,25.0,14
5,4,1,4,1,8,3,0,1,1,2,3,1,0,6.0,1,1,32,12,1,1.32,30.0,14
12,4,1,2,1,9,0,5,1,1,1,3,1,1,2.0,1,1,42,15,2,1.32,50.0,9
12,4,1,2,1,9,0,5,1,1,1,3,1,1,2.0,1,1,42,6,2,1.32,6.0,9
11,4,1,1,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,6,1,1.98,11.0,14
11,4,1,1,1,8,1,0,1,1,3,3,1,1,2.0,1,1,51,11,1,1.98,36.0,14
9,4,1,5,1,8,3,0,1,1,4,4,1,1,2.0,1,1,51,8,1,0.6,3.0,13
5,4,1,3,1,9,0,3,1,1,3,3,1,0,6.0,1,1,61,4,1,1.32,3.0,13
12,4,5,2,1,8,1,0,1,3,4,3,3,1,2.0,1,1,51,5,1,6.32,6.0,18
1,4,1,1,1,9,3,0,1,1,0,3,1,1,2.0,1,1,51,10,1,3.84,29.0,7
1,4,1,1,1,9,3,0,1,1,0,3,1,1,2.0,1,1,51,15,1,3.84,,7
6,4,1,2,1,9,3,0,1,0,3,5,1,0,1.0,1,1,51,13,2,0.9,43.0,11
9,4,1,3,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,6,1,6.0,10.0,9
9,4,1,3,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,16,1,6.0,34.0,9
9,4,1,3,1,8,0,3,1,1,5,3,1,1,2.0,1,1,61,10,1,6.0,30.0,9
3,4,5,6,1,9,1,0,1,1,2,3,3,1,2.0,1,1,51,5,1,1.92,7.0,0
3,4,5,6,1,9,1,0,1,1,2,3,3,1,2.0,1,1,51,4,1,1.92,4.0,0
3,4,5,6,1,9,1,0,1,1,2,3,3,1,2.0,1,1,51,99,0,1.92,,0
9,4,1,2,1,8,3,0,1,1,4,3,1,1,2.0,1,1,51,13,1,2.85,27.0,15
9,4,5,5,1,8,1,0,1,1,2,3,3,0,1.0,1,1,42,7,2,1.92,16.0,20
5,1,1,6,1,9,9,0,0,0,0,5,11,9,,9,9,51,9,1,1.98,19.0,12
5,1,1,6,1,9,9,0,0,0,0,5,11,9,,9,9,51,13,1,1.98,45.0,12
12,4,5,1,1,8,3,0,1,1,2,3,3,0,7.0,1,1,51,13,1,0.6,47.0,17
8,4,5,1,1,8,3,0,1,1,3,3,3,0,1.0,1,1,42,16,1,1.32,59.0,22
8,4,5,1,1,8,3,0,1,1,3,3,3,0,1.0,1,1,42,4,1,1.32,,22
4,4,1,3,1,9,0,3,1,1,3,3,1,1,2.0,1,1,44,11,1,3.84,39.0,11
4,4,1,3,1,9,0,3,1,1,3,3,1,1,2.0,1,1,44,5,2,3.84,5.0,11
8,4,1,2,1,9,0,5,5,1,1,3,1,1,2.0,1,1,51,9,1,1.32,27.0,11
8,4,1,2,1,9,0,5,5,1,1,3,1,1,2.0,1,1,51,7,2,1.32,19.0,11
6,4,1,2,1,8,3,0,1,1,2,3,11,0,6.0,1,1,61,5,2,1.32,8.0,16
6,4,1,2,1,8,3,0,1,1,2,3,11,0,6.0,1,1,61,15,1,1.32,32.0,16
4,4,1,5,1,9,3,0,1,1,0,5,1,1,2.0,1,1,51,99,0,1.92,,15
12,4,5,5,1,9,9,0,0,0,0,5,6,1,2.0,9,9,62,11,1,1.32,29.0,17
12,4,5,5,1,9,9,0,0,0,0,5,6,1,2.0,9,9,62,5,1,1.32,5.0,17
9,4,1,6,1,2,1,0,4,1,4,3,1,1,2.0,1,1,51,11,1,5.76,38.0,16
