pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,YOM_BE_HODESH,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,RAMZOR,HUMRAT_TEUNA,SUG_TEUNA,ZURAT_DEREH,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,BAKARA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,MISPAR_REHEV_fikt,ZEHUT_fikt,SUG_MEORAV,SHNAT_HOZAA,KVUZA_GIL,MIN,SUG_REHEV_NASA_LMS,EMZAE_BETIHUT,SEMEL_YISHUV_MEGURIM,HUMRAT_PGIA,SUG_NIFGA_LMS,PEULAT_NIFGA_LMS,KVUTZAT_OHLUSIYA_LMS,MAHOZ_MEGURIM,NAFA_MEGURIM,EZOR_TIVI_MEGURIM,MAAMAD_MINIZIPALI_MEGURIM,ZURAT_ISHUV_MEGURIM,SUG_TIK,ShimushBeAvizareyBetihut_LMS,PtiraMeuheret_LMS,severity_score,component_1,total_acc,fatal_acc,severe_acc,light_acc,weightedAccCount,base_risk_score,risk_score_per_row
2023000040,1,1,1,6200,312.0,221.0,,7810031.0,,,,,20,2023,1,29,40,4,1,1,1,3,2,8,0,3,1,1,3,3,1,2.0,1,1,9,9,9,0,0,9,5,51,513,0.0,14,1,175748.0,657646.0,1,1,1,2017,10,2,1.0,1,6200,0,0,8,1,5.0,51,513.0,0.0,14.0,1,,,1,2,2,0,0,2,2,0.069,2.07
2023000040,1,1,1,6200,312.0,221.0,,7810031.0,,,,,20,2023,1,29,40,4,1,1,1,3,2,8,0,3,1,1,3,3,1,2.0,1,1,9,9,9,0,0,9,5,51,513,0.0,14,1,175748.0,657646.0,2,2,2,2017,7,1,10.0,2,6600,3,4,1,3,5.0,51,513.0,0.0,14.0,1,,,1,2,2,0,0,2,2,0.069,2.07
2023000059,1,1,1,7600,505.0,205.0,,7620005.0,,,,,12,2023,3,9,54,4,1,5,0,3,1,8,1,0,1,1,2,3,1,1.0,1,1,9,9,9,3,3,1,2,24,246,0.0,15,1,207762.0,759167.0,1,1,1,2000,9,1,11.0,1,944,0,0,8,2,2.0,23,237.0,99.0,28.0,1,,,1,2,1,0,0,1,1,0.0345,2.03
2023000073,1,1,1,6100,825.0,856.0,,9520041.0,,,,,20,2023,5,1,74,4,1,2,0,3,1,8,1,0,1,1,2,3,1,1.0,1,1,9,9,9,4,3,9,5,51,512,0.0,13,1,185084.0,665378.0,1,1,1,2022,5,1,12.0,5,6100,0,0,8,1,5.0,51,512.0,0.0,13.0,1,,,1,2,1,0,0,1,1,0.0345,2.03
2023000076,1,1,1,70,715.0,704.0,,8730052.0,,,,,38,2023,9,18,54,4,1,2,0,3,2,8,3,0,1,1,3,3,1,6.0,1,1,9,9,9,0,0,9,6,61,613,0.0,13,1,166862.0,632180.0,1,1,2,2020,8,2,1.0,1,70,3,2,1,3,6.0,61,613.0,0.0,13.0,1,,,1,2,4,0,0,4,4,0.1379,2.14
2023000076,1,1,1,70,715.0,704.0,,8730052.0,,,,,38,2023,9,18,54,4,1,2,0,3,2,8,3,0,1,1,3,3,1,6.0,1,1,9,9,9,0,0,9,6,61,613,0.0,13,1,166862.0,632180.0,2,2,2,2017,5,2,1.0,1,70,3,2,1,1,6.0,61,613.0,0.0,13.0,1,,,1,2,4,0,0,4,4,0.1379,2.14
2023000118,1,1,1,2600,372.0,384.0,,8080004.0,,,,,33,2023,9,3,35,4,1,1,0,3,2,8,3,0,1,1,5,4,1,1.0,1,1,9,9,9,0,0,9,6,62,625,0.0,15,1,193783.0,385959.0,1,1,1,1989,13,1,1.0,1,2600,0,0,8,1,6.0,62,625.0,0.0,15.0,1,,,1,2,2,0,0,2,2,0.069,2.07
2023000118,1,1,1,2600,372.0,384.0,,8080004.0,,,,,33,2023,9,3,35,4,1,1,0,3,2,8,3,0,1,1,5,4,1,1.0,1,1,9,9,9,0,0,9,6,62,625,0.0,15,1,193783.0,385959.0,2,2,2,2016,6,1,10.0,2,2600,3,4,1,1,6.0,62,625.0,0.0,15.0,1,,,1,2,2,0,0,2,2,0.069,2.07
2023000186,1,1,1,8700,204.0,367.0,,220001.0,,,,,51,2023,8,3,87,4,5,5,1,3,2,8,0,3,1,1,4,3,3,2.0,1,1,9,9,9,0,0,9,4,42,421,0.0,15,1,189213.0,677607.0,1,2,2,1974,14,1,1.0,5,8700,3,2,1,1,4.0,42,421.0,0.0,15.0,1,,,1,2,2,0,0,2,2,0.069,2.07
2023000186,1,1,1,8700,204.0,367.0,,220001.0,,,,,51,2023,8,3,87,4,5,5,1,3,2,8,0,3,1,1,4,3,3,2.0,1,1,9,9,9,0,0,9,4,42,421,0.0,15,1,189213.0,677607.0,2,1,1,2012,6,1,1.0,5,2720,0,0,8,2,4.0,41,412.0,0.0,26.0,1,,,1,2,2,0,0,2,2,0.069,2.07
2023000208,1,1,1,3000,1093.0,1121.0,,92870888.0,,,,,61,2023,2,20,42,4,1,2,1,3,2,8,3,0,1,1,2,3,1,2.0,1,1,9,9,9,0,0,9,1,11,111,0.0,12,1,217745.0,631262.0,1,2,2,1973,15,1,1.0,5,2610,3,2,1,1,1.0,11,112.0,0.0,14.0,1,,,1,2,6,0,0,6,6,0.2069,2.21
2023000208,1,1,1,3000,1093.0,1121.0,,92870888.0,,,,,61,2023,2,20,42,4,1,2,1,3,2,8,3,0,1,1,2,3,1,2.0,1,1,9,9,9,0,0,9,1,11,111,0.0,12,1,217745.0,631262.0,2,1,2,1997,10,1,2.0,1,456,3,2,1,1,1.0,11,111.0,26.0,32.0,1,,,1,2,6,0,0,6,6,0.2069,2.21
2023000288,1,1,1,7800,502.0,508.0,,8840179.0,,,,,12,2023,1,27,51,4,1,6,0,3,2,8,3,0,1,1,2,3,1,5.0,1,1,9,9,9,0,0,9,3,32,324,99.0,16,1,199966.0,708702.0,1,2,2,2003,8,1,1.0,1,7800,3,2,1,1,3.0,32,324.0,99.0,16.0,1,,,1,2,2,0,0,2,2,0.069,2.07
2023000288,1,1,1,7800,502.0,508.0,,8840179.0,,,,,12,2023,1,27,51,4,1,6,0,3,2,8,3,0,1,1,2,3,1,5.0,1,1,9,9,9,0,0,9,3,32,324,99.0,16,1,199966.0,708702.0,2,1,1,1996,10,2,1.0,1,7800,0,0,8,1,3.0,32,324.0,99.0,16.0,1,,,1,2,2,0,0,2,2,0.069,2.07
2023000317,1,1,1,7900,136.0,118.0,,8310012.0,,,,,51,2023,9,27,57,4,1,4,1,2,2,9,0,3,1,1,2,3,1,2.0,1,1,9,9,9,0,0,9,4,42,422,0.0,13,1,188962.0,667223.0,1,2,1,1980,13,1,3.0,1,7900,0,0,8,1,4.0,42,422.0,0.0,13.0,1,,,2,4,2,0,2,0,6,0.2069,4.21
2023000317,1,1,1,7900,136.0,118.0,,8310012.0,,,,,51,2023,9,27,57,4,1,4,1,2,2,9,0,3,1,1,2,3,1,2.0,1,1,9,9,9,0,0,9,4,42,422,0.0,13,1,188962.0,667223.0,2,1,2,1999,12,1,1.0,1,7900,2,2,1,3,4.0,42,422.0,0.0,13.0,1,,,2,4,2,0,2,0,6,0.2069,4.21
2023000344,1,1,1,666,126.0,116.0,,100001.0,,,,,34,2023,9,21,60,4,1,5,0,3,2,8,3,0,1,1,1,3,1,5.0,1,1,9,9,9,0,0,9,6,62,623,99.0,18,1,185647.0,575134.0,1,1,2,2005,8,2,1.0,1,666,3,2,1,1,6.0,62,623.0,99.0,18.0,1,1.0,,1,2,2,0,0,2,2,0.069,2.07
