SEMEL_YISHUV,ZOMET_IRONI,total_acc,fatal_acc,severe_acc,light_acc
26,50001.0,1,0,0,1
28,90099.0,1,0,0,1
31,40002.0,1,0,1,0
31,70001.0,1,0,1,0
31,110001.0,2,0,0,2
31,460001.0,1,0,0,1
65,20052.0,1,0,1,0
70,10001.0,4,0,0,4
70,30008.0,3,0,0,3
70,50005.0,2,0,2,0
70,60015.0,1,0,1,0
70,90013.0,2,0,0,2
70,120008.0,2,0,0,2
70,170007.0,1,0,0,1
70,230003.0,3,0,1,2
70,7480002.0,1,0,0,1
70,7490002.0,2,0,0,2
70,7510002.0,1,0,1,0
70,7530002.0,2,0,0,2
70,7540002.0,4,0,0,4
70,7630003.0,3,0,0,3
70,7650004.0,2,0,0,2
70,7690005.0,1,0,0,1
70,7710005.0,2,0,0,2
70,7740006.0,1,0,0,1
70,7750006.0,2,0,0,2
70,7760007.0,3,1,0,2
70,7880014.0,1,0,0,1
70,7900013.0,4,0,2,2
70,7910013.0,7,0,0,7
70,7920011.0,14,0,0,14
70,7930011.0,3,0,2,1
70,7940011.0,1,0,0,1
70,8060011.0,5,0,0,5
70,8070011.0,8,0,3,5
70,8140014.0,2,0,0,2
70,8240014.0,1,0,0,1
70,8300054.0,5,1,2,2
70,8310021.0,1,0,0,1
70,8330071.0,2,0,0,2
70,8450001.0,2,0,0,2
70,8460041.0,3,0,2,1
70,8590011.0,2,0,0,2
70,8610011.0,7,0,4,3
70,8670001.0,11,0,5,6
70,8730052.0,4,0,0,4
70,8750002.0,2,0,0,2
70,8820071.0,4,0,0,4
70,8880052.0,1,0,1,0
70,8900001.0,7,0,0,7
70,8960041.0,1,0,0,1
70,9020052.0,10,0,0,10
70,9040335.0,1,0,0,1
70,9060041.0,1,0,0,1
70,9080132.0,2,0,0,2
70,9140008.0,1,0,1,0
70,9190335.0,1,0,0,1
70,9200073.0,2,0,0,2
70,9210001.0,3,0,1,2
70,9220073.0,2,0,0,2
70,9250054.0,3,0,1,2
70,9330041.0,2,0,0,2
70,9370211.0,2,0,0,2
70,9380123.0,3,0,0,3
70,9430312.0,4,0,0,4
70,9450137.0,1,0,0,1
70,9470321.0,4,2,0,2
70,9580331.0,2,0,0,2
70,9680325.0,2,0,0,2
70,9720005.0,3,0,2,1
70,9750041.0,5,0,0,5
70,9770007.0,6,0,2,4
70,9840052.0,1,0,0,1
70,9890011.0,1,0,0,1
70,9900002.0,4,0,2,2
70,9990001.0,1,0,0,1
70,10020001.0,2,0,0,2
70,10150006.0,1,0,0,1
70,10150045.0,2,0,0,2
70,10150071.0,2,0,0,2
70,10150097.0,2,0,0,2
70,10150098.0,1,0,0,1
70,10150129.0,2,0,0,2
70,10150156.0,2,0,0,2
70,10150244.0,1,0,0,1
70,10150255.0,2,0,2,0
70,10150290.0,4,0,0,4
70,10150316.0,2,0,0,2
70,10150344.0,4,0,0,4
70,10150345.0,4,2,0,2
70,10150358.0,1,0,0,1
70,10150362.0,4,0,0,4
70,10150407.0,2,0,2,0
70,10150435.0,2,0,0,2
70,10150436.0,1,0,0,1
154,30001.0,1,0,0,1
154,40001.0,1,0,0,1
154,220015.0,2,0,0,2
154,220026.0,2,0,0,2
166,70001.0,3,0,2,1
166,170001.0,2,0,0,2
166,320001.0,1,0,0,1
166,410001.0,2,0,0,2
166,430053.0,6,0,2,4
166,430061.0,2,0,0,2
166,430092.0,3,0,0,3
166,430176.0,1,0,0,1
168,180001.0,2,0,0,2
168,180095.0,1,0,0,1
168,180099.0,2,0,2,0
182,10001.0,1,0,1,0
182,260058.0,1,0,0,1
195,250001.0,2,0,0,2
195,270014.0,1,0,0,1
195,310052.0,3,0,0,3
195,310177.0,2,0,2,0
229,10001.0,1,0,0,1
229,150001.0,2,0,0,2
229,490001.0,2,0,0,2
229,570001.0,1,0,0,1
229,640041.0,1,0,1,0
229,640042.0,2,0,0,2
233,4.0,2,0,0,2
240,50001.0,3,0,0,3
240,60001.0,2,0,0,2
240,190061.0,3,0,0,3
240,190064.0,1,0,0,1
246,250001.0,2,0,0,2
246,610007.0,2,0,0,2
246,610100.0,3,0,0,3
249,20001.0,2,0,0,2
351,3.0,2,0,0,2
432,2.0,2,0,0,2
466,9610010.0,2,0,2,0
469,240041.0,2,2,0,0
469,240086.0,1,0,1,0
469,240099.0,2,0,0,2
469,240101.0,2,0,2,0
542,2.0,2,0,2,0
542,4.0,2,0,0,2
628,2.0,4,0,0,4
634,11.0,2,0,0,2
634,99999999.0,3,3,0,0
666,100001.0,2,0,0,2
666,120001.0,2,0,0,2
666,250001.0,2,0,0,2
681,570001.0,1,0,0,1
681,670001.0,2,0,0,2
681,67760001.0,1,0,0,1
681,67780024.0,2,0,2,0
831,130039.0,1,0,0,1
874,50003.0,2,0,0,2
874,510001.0,1,0,0,1
874,570031.0,1,0,0,1
874,570163.0,2,0,0,2
1015,150001.0,2,0,0,2
1015,210001.0,1,0,0,1
1015,360001.0,4,0,0,4
1015,430044.0,2,0,0,2
1015,430122.0,2,0,0,2
1020,110001.0,2,0,0,2
1020,150001.0,1,0,1,0
1020,340001.0,1,0,0,1
1020,640017.0,1,0,0,1
1031,270001.0,1,0,1,0
1031,280001.0,2,0,0,2
1031,480001.0,2,0,0,2
1031,630001.0,3,0,0,3
1031,670059.0,1,0,0,1
1031,670178.0,2,0,0,2
1031,670189.0,2,0,2,0
1034,10003.0,2,0,0,2
1034,30004.0,1,0,0,1
1034,130001.0,1,0,0,1
1034,290003.0,2,0,0,2
1034,350003.0,1,0,0,1
1034,18310004.0,2,0,0,2
1061,7010002.0,2,0,0,2
1061,7030002.0,3,0,0,3
1061,7070002.0,2,0,0,2
1061,7590004.0,1,0,0,1
1061,7790001.0,1,0,0,1
1061,7810004.0,1,0,0,1
1061,7820003.0,2,0,0,2
1061,7910002.0,1,0,0,1
1061,8080001.0,2,0,0,2
1063,40001.0,1,0,0,1
1063,160073.0,1,0,0,1
1139,280009.0,1,0,0,1
1139,340002.0,2,0,0,2
1139,370002.0,3,0,0,3
1139,390003.0,2,0,1,1
1139,480009.0,2,0,0,2
1139,630001.0,2,0,0,2
1139,670003.0,2,0,0,2
1139,8340020.0,1,0,1,0
1139,8340106.0,2,0,0,2
1139,8340160.0,2,0,0,2
1139,8340168.0,2,0,0,2
1139,8340197.0,2,0,2,0
1167,100085.0,1,0,0,1
1167,100105.0,2,0,0,2
1200,120001.0,4,0,1,3
