MEHIRUT_MUTERET,ROHAV,RAMZOR,KVUZA_GIL,veteran_driver_years,HODESH_TEUNA_sin,HODESH_TEUNA_cos,SUG_YOM_Holiday,SUG_YOM_HolidayEve,SUG_YOM_IntermediateHoliday,SUG_YOM_Weekday,is_night,YOM_BASHAVUA_sin,YOM_BASHAVUA_cos,_MultiLaneOneWay,_SingleLaneOneWay,_TwoWay_Separated,_TwoWay_Unseparated,is_bad_road,is_signage_problem,is_not_clear_weather,is_slippery_road,SEX,vehicle_0,vehicle_1,vehicle_2,hour_sin,hour_cos,risk_level
1,3,1,10,8.0,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,0,0,1,1,0,0,0.7071067811865476,-0.7071067811865475,0
1,3,1,7,8.0,0.49999999999999994,0.8660254037844387,0,0,0,1,0,0.7818314824680298,0.6234898018587336,1,0,0,0,0,0,0,0,0,0,1,0,0.7071067811865476,-0.7071067811865475,0
1,2,0,9,25.0,1.0,6.123233995736766e-17,0,0,0,1,0,-0.9749279121818236,-0.2225209339563146,0,1,0,0,0,0,0,0,0,0,0,1,-0.2588190451025208,-0.9659258262890683,0
1,2,0,5,3.0,0.49999999999999994,-0.8660254037844387,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,0,1,0,0,0,0,0,0,0,1,0,0,-1.0,-1.8369701987210297e-16,0
1,3,0,8,5.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0,0,-0.2588190451025208,-0.9659258262890683,0
1,3,0,5,8.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.9749279121818236,-0.22252093395631434,0,0,0,1,0,0,0,0,1,1,0,0,-0.2588190451025208,-0.9659258262890683,0
1,5,0,13,36.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,0,0,1,0,0,0.8660254037844387,-0.4999999999999998,0
1,5,0,6,9.0,-1.0,-1.8369701987210297e-16,0,0,0,1,0,0.7818314824680298,0.6234898018587336,0,0,0,1,0,0,0,0,0,0,1,0,0.8660254037844387,-0.4999999999999998,0
1,4,1,14,51.0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,1,-0.9749279121818236,-0.2225209339563146,1,0,0,0,0,0,0,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,0
1,4,1,6,13.0,-0.8660254037844385,-0.5000000000000004,0,0,0,1,1,-0.9749279121818236,-0.2225209339563146,1,0,0,0,0,0,0,0,0,1,0,0,-0.7071067811865477,0.7071067811865474,0
